textid,label
1,fear
2,fear
3,surprise
4,disgust
5,joy
6,sad
7,fear
8,joy
9,surprise
10,joy
11,surprise
12,sad
13,anger
14,sad
15,joy
16,joy
17,disgust
18,joy
19,surprise
20,anger
21,fear
22,joy
23,anger
24,sad
25,sad
26,surprise
27,sad
28,surprise
29,sad
30,sad
31,sad
32,sad
33,sad
34,surprise
35,fear
36,surprise
37,joy
38,joy
39,fear
40,surprise
41,joy
42,sad
43,fear
44,joy
45,joy
46,anger
47,joy
48,surprise
49,surprise
50,joy
51,sad
52,sad
53,fear
54,surprise
55,joy
56,disgust
57,anger
58,fear
59,disgust
60,surprise
61,joy
62,disgust
63,sad
64,anger
65,surprise
66,joy
67,surprise
68,joy
69,fear
70,surprise
71,anger
72,fear
73,joy
74,surprise
75,surprise
76,surprise
77,joy
78,sad
79,anger
80,sad
81,fear
82,joy
83,joy
84,joy
85,sad
86,sad
87,surprise
88,anger
89,joy
90,surprise
91,joy
92,fear
93,sad
94,fear
95,disgust
96,joy
97,joy
98,joy
99,joy
100,anger
101,surprise
102,anger
103,fear
104,surprise
105,anger
106,fear
107,sad
108,fear
109,fear
110,surprise
111,surprise
112,surprise
113,fear
114,sad
115,fear
116,fear
117,fear
118,joy
119,anger
120,anger
121,surprise
122,surprise
123,fear
124,fear
125,sad
126,joy
127,fear
128,anger
129,fear
130,joy
131,fear
132,fear
133,fear
134,joy
135,sad
136,anger
137,sad
138,sad
139,joy
140,anger
141,fear
142,joy
143,disgust
144,sad
145,disgust
146,surprise
147,joy
148,fear
149,joy
150,surprise
151,joy
152,fear
153,joy
154,sad
155,joy
156,disgust
157,surprise
158,sad
159,fear
160,sad
161,sad
162,surprise
163,joy
164,joy
165,surprise
166,joy
167,joy
168,joy
169,fear
170,surprise
171,joy
172,fear
173,sad
174,fear
175,joy
176,joy
177,surprise
178,surprise
179,fear
180,surprise
181,sad
182,joy
183,joy
184,joy
185,fear
186,fear
187,anger
188,joy
189,surprise
190,joy
191,surprise
192,surprise
193,joy
194,disgust
195,sad
196,disgust
197,surprise
198,surprise
199,surprise
200,fear
201,joy
202,anger
203,fear
204,surprise
205,fear
206,anger
207,anger
208,joy
209,surprise
210,sad
211,sad
212,sad
213,fear
214,fear
215,anger
216,joy
217,anger
218,fear
219,joy
220,sad
221,sad
222,surprise
223,joy
224,surprise
225,sad
226,joy
227,disgust
228,joy
229,sad
230,joy
231,joy
232,sad
233,joy
234,surprise
235,joy
236,fear
237,joy
238,surprise
239,surprise
240,sad
241,joy
242,disgust
243,sad
244,fear
245,sad
246,anger
247,fear
248,sad
249,sad
250,joy
251,fear
252,sad
253,joy
254,anger
255,fear
256,anger
257,sad
258,joy
259,sad
260,joy
261,anger
262,fear
263,joy
264,disgust
265,disgust
266,disgust
267,sad
268,joy
269,surprise
270,joy
271,fear
272,fear
273,joy
274,fear
275,fear
276,joy
277,fear
278,surprise
279,joy
280,disgust
281,joy
282,surprise
283,surprise
284,joy
285,surprise
286,sad
287,joy
288,joy
289,fear
290,surprise
291,surprise
292,surprise
293,joy
294,surprise
295,joy
296,sad
297,surprise
298,sad
299,joy
300,fear
301,joy
302,fear
303,sad
304,surprise
305,sad
306,disgust
307,joy
308,fear
309,joy
310,fear
311,joy
